Value,Correlation,Variable,Reference,Comparison
Medicare Eligible Retiree,0.7279,EESTATU,anxiety,lipid_metabolism
COBRA Continuee,0.3817,EESTATU,anxiety,lipid_metabolism
Long Term Disability,0.3037,EESTATU,anxiety,lipid_metabolism
Surviving Spouse/Depend.,0.6297,EESTATU,anxiety,lipid_metabolism
Other/Unknown,0.4475,EESTATU,anxiety,lipid_metabolism
Retiree (status unknown),0.5389,EESTATU,anxiety,lipid_metabolism
"Manufacturing, Durable Goods",0.8308,INDSTRY,anxiety,obesity
"Manufacturing, Nondurable Goods",0.6369,INDSTRY,anxiety,obesity
"Transportation, Communications, Utilities",0.7361,INDSTRY,anxiety,obesity
Retail Trade,0.6298,INDSTRY,anxiety,obesity
"Finance, Insurance, Real Estate",0.705,INDSTRY,anxiety,obesity
Services,0.5871,INDSTRY,anxiety,obesity
Wholesale,0.3622,INDSTRY,anxiety,obesity
"Oil & Gas Extraction, Mining",0.5177,INDSTRY,anxiety,obesity
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,obesity
Construction,0.4519,INDSTRY,anxiety,obesity
Salary Non-union,0.7472,EECLASS,anxiety,obesity
Salary Union,0.4457,EECLASS,anxiety,obesity
Salary Other,0.6963,EECLASS,anxiety,obesity
Hourly Non-union,0.7042,EECLASS,anxiety,obesity
Hourly Union,0.7457,EECLASS,anxiety,obesity
Hourly Other,0.7637,EECLASS,anxiety,obesity
Non-union,0.5804,EECLASS,anxiety,obesity
Union,0.5446,EECLASS,anxiety,obesity
Unknown,0.6576,EECLASS,anxiety,obesity
Active Full Time,0.3915,EESTATU,anxiety,obesity
Active Part Time or Seasonal,0.6012,EESTATU,anxiety,obesity
Early Retiree,0.7038,EESTATU,anxiety,obesity
Medicare Eligible Retiree,0.8439,EESTATU,anxiety,obesity
COBRA Continuee,0.2558,EESTATU,anxiety,obesity
Long Term Disability,0.4302,EESTATU,anxiety,obesity
Surviving Spouse/Depend.,0.5925,EESTATU,anxiety,obesity
Other/Unknown,0.0827,EESTATU,anxiety,obesity
Retiree (status unknown),0.4073,EESTATU,anxiety,obesity
"Manufacturing, Durable Goods",0.6001,INDSTRY,anxiety,schizophrenia
"Manufacturing, Nondurable Goods",0.2588,INDSTRY,anxiety,schizophrenia
"Transportation, Communications, Utilities",0.5823,INDSTRY,anxiety,schizophrenia
Retail Trade,0.4587,INDSTRY,anxiety,schizophrenia
"Finance, Insurance, Real Estate",0.4156,INDSTRY,anxiety,schizophrenia
Services,0.2265,INDSTRY,anxiety,schizophrenia
Wholesale,0.0644,INDSTRY,anxiety,schizophrenia
"Oil & Gas Extraction, Mining",0.3732,INDSTRY,anxiety,schizophrenia
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,schizophrenia
Construction,0.5405,INDSTRY,anxiety,schizophrenia
Salary Non-union,0.2775,EECLASS,anxiety,schizophrenia
Salary Union,0.5204,EECLASS,anxiety,schizophrenia
Salary Other,0.2686,EECLASS,anxiety,schizophrenia
Hourly Non-union,0.2561,EECLASS,anxiety,schizophrenia
Hourly Union,0.5173,EECLASS,anxiety,schizophrenia
Hourly Other,0.2796,EECLASS,anxiety,schizophrenia
Non-union,0.1825,EECLASS,anxiety,schizophrenia
Union,0.3493,EECLASS,anxiety,schizophrenia
Unknown,0.6228,EECLASS,anxiety,schizophrenia
Active Full Time,0.053,EESTATU,anxiety,schizophrenia
Active Part Time or Seasonal,0.239,EESTATU,anxiety,schizophrenia
Early Retiree,0.4948,EESTATU,anxiety,schizophrenia
Medicare Eligible Retiree,0.4948,EESTATU,anxiety,schizophrenia
COBRA Continuee,0.365,EESTATU,anxiety,schizophrenia
Long Term Disability,0.2607,EESTATU,anxiety,schizophrenia
Surviving Spouse/Depend.,0.3367,EESTATU,anxiety,schizophrenia
Other/Unknown,-0.0898,EESTATU,anxiety,schizophrenia
Retiree (status unknown),0.413,EESTATU,anxiety,schizophrenia
"Manufacturing, Durable Goods",0.2095,INDSTRY,anxiety,suicide
"Manufacturing, Nondurable Goods",0.2128,INDSTRY,anxiety,suicide
"Transportation, Communications, Utilities",0.3273,INDSTRY,anxiety,suicide
Retail Trade,0.1178,INDSTRY,anxiety,suicide
"Finance, Insurance, Real Estate",0.1437,INDSTRY,anxiety,suicide
Services,0.3524,INDSTRY,anxiety,suicide
Wholesale,0.3131,INDSTRY,anxiety,suicide
"Oil & Gas Extraction, Mining",0.3684,INDSTRY,anxiety,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,anxiety,suicide
Construction,0.4121,INDSTRY,anxiety,suicide
Salary Non-union,0.108,EECLASS,anxiety,suicide
Salary Union,0.2876,EECLASS,anxiety,suicide
Salary Other,0.2321,EECLASS,anxiety,suicide
Hourly Non-union,0.1718,EECLASS,anxiety,suicide
Hourly Union,0.5062,EECLASS,anxiety,suicide
Hourly Other,0.3114,EECLASS,anxiety,suicide
Non-union,0.3186,EECLASS,anxiety,suicide
Union,0.3342,EECLASS,anxiety,suicide
Unknown,0.2695,EECLASS,anxiety,suicide
Active Full Time,0.1969,EESTATU,anxiety,suicide
Active Part Time or Seasonal,-0.0321,EESTATU,anxiety,suicide
Early Retiree,0.1282,EESTATU,anxiety,suicide
Medicare Eligible Retiree,0.2636,EESTATU,anxiety,suicide
COBRA Continuee,0.0557,EESTATU,anxiety,suicide
Long Term Disability,-0.0249,EESTATU,anxiety,suicide
Surviving Spouse/Depend.,0.0545,EESTATU,anxiety,suicide
Other/Unknown,-0.1344,EESTATU,anxiety,suicide
Retiree (status unknown),0.2473,EESTATU,anxiety,suicide
"Manufacturing, Durable Goods",0.7201,INDSTRY,bipolar,depression
"Manufacturing, Nondurable Goods",0.6847,INDSTRY,bipolar,depression
"Transportation, Communications, Utilities",0.8336,INDSTRY,bipolar,depression
Retail Trade,0.6622,INDSTRY,bipolar,depression
"Finance, Insurance, Real Estate",0.7218,INDSTRY,bipolar,depression
Services,0.7831,INDSTRY,bipolar,depression
"Oil & Gas Extraction, Mining",0.4713,INDSTRY,bipolar,depression
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,depression
Construction,0.4906,INDSTRY,bipolar,depression
Wholesale,0.4102,INDSTRY,bipolar,depression
Salary Non-union,0.6681,EECLASS,bipolar,depression
Salary Union,0.4824,EECLASS,bipolar,depression
Salary Other,0.5543,EECLASS,bipolar,depression
Hourly Non-union,0.7517,EECLASS,bipolar,depression
Hourly Union,0.7674,EECLASS,bipolar,depression
Hourly Other,0.5959,EECLASS,bipolar,depression
Non-union,0.8163,EECLASS,bipolar,depression
Union,0.7214,EECLASS,bipolar,depression
Unknown,0.6789,EECLASS,bipolar,depression
Active Full Time,0.5418,EESTATU,bipolar,depression
Early Retiree,0.5889,EESTATU,bipolar,depression
Medicare Eligible Retiree,0.5362,EESTATU,bipolar,depression
COBRA Continuee,0.2383,EESTATU,bipolar,depression
Long Term Disability,0.6548,EESTATU,bipolar,depression
Surviving Spouse/Depend.,0.7224,EESTATU,bipolar,depression
Other/Unknown,0.4985,EESTATU,bipolar,depression
Active Part Time or Seasonal,0.2998,EESTATU,bipolar,depression
Retiree (status unknown),0.7039,EESTATU,bipolar,depression
"Manufacturing, Durable Goods",0.5867,INDSTRY,bipolar,regional_enteritis
"Manufacturing, Nondurable Goods",0.3999,INDSTRY,bipolar,regional_enteritis
"Transportation, Communications, Utilities",0.3597,INDSTRY,bipolar,regional_enteritis
Retail Trade,0.4017,INDSTRY,bipolar,regional_enteritis
"Finance, Insurance, Real Estate",0.7588,INDSTRY,bipolar,regional_enteritis
Services,0.6726,INDSTRY,bipolar,regional_enteritis
"Oil & Gas Extraction, Mining",0.3527,INDSTRY,bipolar,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,regional_enteritis
Construction,0.4684,INDSTRY,bipolar,regional_enteritis
Wholesale,0.2562,INDSTRY,bipolar,regional_enteritis
Salary Non-union,0.3101,EECLASS,bipolar,regional_enteritis
Salary Union,0.4821,EECLASS,bipolar,regional_enteritis
Salary Other,0.4121,EECLASS,bipolar,regional_enteritis
Hourly Non-union,0.2992,EECLASS,bipolar,regional_enteritis
Hourly Union,0.541,EECLASS,bipolar,regional_enteritis
Hourly Other,0.4528,EECLASS,bipolar,regional_enteritis
Non-union,0.5018,EECLASS,bipolar,regional_enteritis
Union,0.5181,EECLASS,bipolar,regional_enteritis
Unknown,0.5697,EECLASS,bipolar,regional_enteritis
Active Full Time,-0.0326,EESTATU,bipolar,regional_enteritis
Early Retiree,0.4429,EESTATU,bipolar,regional_enteritis
Medicare Eligible Retiree,0.3914,EESTATU,bipolar,regional_enteritis
COBRA Continuee,0.5804,EESTATU,bipolar,regional_enteritis
Long Term Disability,0.3821,EESTATU,bipolar,regional_enteritis
Surviving Spouse/Depend.,0.4589,EESTATU,bipolar,regional_enteritis
Other/Unknown,0.3378,EESTATU,bipolar,regional_enteritis
Active Part Time or Seasonal,0.3152,EESTATU,bipolar,regional_enteritis
Retiree (status unknown),0.3591,EESTATU,bipolar,regional_enteritis
"Manufacturing, Durable Goods",0.6907,INDSTRY,bipolar,alcohol_dependence
"Manufacturing, Nondurable Goods",0.495,INDSTRY,bipolar,alcohol_dependence
"Transportation, Communications, Utilities",0.5826,INDSTRY,bipolar,alcohol_dependence
Retail Trade,0.5898,INDSTRY,bipolar,alcohol_dependence
"Finance, Insurance, Real Estate",0.5921,INDSTRY,bipolar,alcohol_dependence
Services,0.6292,INDSTRY,bipolar,alcohol_dependence
"Oil & Gas Extraction, Mining",0.319,INDSTRY,bipolar,alcohol_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,alcohol_dependence
Construction,0.589,INDSTRY,bipolar,alcohol_dependence
Wholesale,0.2359,INDSTRY,bipolar,alcohol_dependence
Salary Non-union,0.5388,EECLASS,bipolar,alcohol_dependence
Salary Union,0.4551,EECLASS,bipolar,alcohol_dependence
Salary Other,0.4894,EECLASS,bipolar,alcohol_dependence
Hourly Non-union,0.517,EECLASS,bipolar,alcohol_dependence
Hourly Union,0.7236,EECLASS,bipolar,alcohol_dependence
Hourly Other,0.4166,EECLASS,bipolar,alcohol_dependence
Non-union,0.7627,EECLASS,bipolar,alcohol_dependence
Union,0.3897,EECLASS,bipolar,alcohol_dependence
Unknown,0.5495,EECLASS,bipolar,alcohol_dependence
Active Full Time,0.3554,EESTATU,bipolar,alcohol_dependence
Early Retiree,0.5526,EESTATU,bipolar,alcohol_dependence
Medicare Eligible Retiree,0.5156,EESTATU,bipolar,alcohol_dependence
COBRA Continuee,0.4331,EESTATU,bipolar,alcohol_dependence
Long Term Disability,0.3635,EESTATU,bipolar,alcohol_dependence
Surviving Spouse/Depend.,0.3603,EESTATU,bipolar,alcohol_dependence
Other/Unknown,0.5101,EESTATU,bipolar,alcohol_dependence
Active Part Time or Seasonal,0.4848,EESTATU,bipolar,alcohol_dependence
Retiree (status unknown),0.3926,EESTATU,bipolar,alcohol_dependence
"Manufacturing, Durable Goods",0.5692,INDSTRY,bipolar,anxiety
"Manufacturing, Nondurable Goods",0.5195,INDSTRY,bipolar,anxiety
"Transportation, Communications, Utilities",0.5844,INDSTRY,bipolar,anxiety
Retail Trade,0.697,INDSTRY,bipolar,anxiety
"Finance, Insurance, Real Estate",0.7438,INDSTRY,bipolar,anxiety
Services,0.6667,INDSTRY,bipolar,anxiety
"Oil & Gas Extraction, Mining",0.439,INDSTRY,bipolar,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,anxiety
Construction,0.5807,INDSTRY,bipolar,anxiety
Wholesale,0.2911,INDSTRY,bipolar,anxiety
Salary Non-union,0.529,EECLASS,bipolar,anxiety
Salary Union,0.3322,EECLASS,bipolar,anxiety
Salary Other,0.454,EECLASS,bipolar,anxiety
Hourly Non-union,0.6122,EECLASS,bipolar,anxiety
Hourly Union,0.7127,EECLASS,bipolar,anxiety
Hourly Other,0.7023,EECLASS,bipolar,anxiety
Non-union,0.7327,EECLASS,bipolar,anxiety
Union,0.7294,EECLASS,bipolar,anxiety
Unknown,0.5929,EECLASS,bipolar,anxiety
Active Full Time,0.1495,EESTATU,bipolar,anxiety
Early Retiree,0.5548,EESTATU,bipolar,anxiety
Medicare Eligible Retiree,0.7146,EESTATU,bipolar,anxiety
COBRA Continuee,0.1939,EESTATU,bipolar,anxiety
Long Term Disability,0.3794,EESTATU,bipolar,anxiety
Surviving Spouse/Depend.,0.3387,EESTATU,bipolar,anxiety
Other/Unknown,0.328,EESTATU,bipolar,anxiety
Active Part Time or Seasonal,0.1341,EESTATU,bipolar,anxiety
Retiree (status unknown),0.4111,EESTATU,bipolar,anxiety
"Manufacturing, Durable Goods",0.7213,INDSTRY,bipolar,diabetes
"Manufacturing, Nondurable Goods",0.638,INDSTRY,bipolar,diabetes
"Transportation, Communications, Utilities",0.6927,INDSTRY,bipolar,diabetes
Retail Trade,0.5077,INDSTRY,bipolar,diabetes
"Finance, Insurance, Real Estate",0.7378,INDSTRY,bipolar,diabetes
Services,0.67,INDSTRY,bipolar,diabetes
"Oil & Gas Extraction, Mining",0.4355,INDSTRY,bipolar,diabetes
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,diabetes
Construction,0.259,INDSTRY,bipolar,diabetes
Wholesale,0.5754,INDSTRY,bipolar,diabetes
Salary Non-union,0.5456,EECLASS,bipolar,diabetes
Salary Union,0.5849,EECLASS,bipolar,diabetes
Salary Other,0.3967,EECLASS,bipolar,diabetes
Hourly Non-union,0.6186,EECLASS,bipolar,diabetes
Hourly Union,0.8382,EECLASS,bipolar,diabetes
Hourly Other,0.5325,EECLASS,bipolar,diabetes
Non-union,0.601,EECLASS,bipolar,diabetes
Union,0.6199,EECLASS,bipolar,diabetes
Unknown,0.6729,EECLASS,bipolar,diabetes
Active Full Time,-0.1718,EESTATU,bipolar,diabetes
Early Retiree,0.7124,EESTATU,bipolar,diabetes
Medicare Eligible Retiree,0.6517,EESTATU,bipolar,diabetes
COBRA Continuee,0.1105,EESTATU,bipolar,diabetes
Long Term Disability,0.4447,EESTATU,bipolar,diabetes
Surviving Spouse/Depend.,0.6204,EESTATU,bipolar,diabetes
Other/Unknown,0.3116,EESTATU,bipolar,diabetes
Active Part Time or Seasonal,0.4317,EESTATU,bipolar,diabetes
Retiree (status unknown),0.4828,EESTATU,bipolar,diabetes
"Manufacturing, Durable Goods",0.7328,INDSTRY,bipolar,drug_dependence
"Manufacturing, Nondurable Goods",0.6517,INDSTRY,bipolar,drug_dependence
"Transportation, Communications, Utilities",0.8003,INDSTRY,bipolar,drug_dependence
Retail Trade,0.6679,INDSTRY,bipolar,drug_dependence
"Finance, Insurance, Real Estate",0.5976,INDSTRY,bipolar,drug_dependence
Services,0.8243,INDSTRY,bipolar,drug_dependence
"Oil & Gas Extraction, Mining",0.4796,INDSTRY,bipolar,drug_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,drug_dependence
Construction,0.3228,INDSTRY,bipolar,drug_dependence
Wholesale,0.2984,INDSTRY,bipolar,drug_dependence
Salary Non-union,0.6476,EECLASS,bipolar,drug_dependence
Salary Union,0.6165,EECLASS,bipolar,drug_dependence
Salary Other,0.5725,EECLASS,bipolar,drug_dependence
Hourly Non-union,0.6733,EECLASS,bipolar,drug_dependence
Hourly Union,0.8361,EECLASS,bipolar,drug_dependence
Hourly Other,0.3063,EECLASS,bipolar,drug_dependence
Non-union,0.6917,EECLASS,bipolar,drug_dependence
Union,0.734,EECLASS,bipolar,drug_dependence
Unknown,0.585,EECLASS,bipolar,drug_dependence
Active Full Time,0.1824,EESTATU,bipolar,drug_dependence
Early Retiree,0.6643,EESTATU,bipolar,drug_dependence
Medicare Eligible Retiree,0.6856,EESTATU,bipolar,drug_dependence
COBRA Continuee,0.4315,EESTATU,bipolar,drug_dependence
Long Term Disability,0.582,EESTATU,bipolar,drug_dependence
Surviving Spouse/Depend.,0.7744,EESTATU,bipolar,drug_dependence
Other/Unknown,0.5548,EESTATU,bipolar,drug_dependence
Active Part Time or Seasonal,0.0684,EESTATU,bipolar,drug_dependence
Retiree (status unknown),0.5033,EESTATU,bipolar,drug_dependence
"Manufacturing, Durable Goods",0.6815,INDSTRY,bipolar,hypertension
"Manufacturing, Nondurable Goods",0.6579,INDSTRY,bipolar,hypertension
"Transportation, Communications, Utilities",0.6033,INDSTRY,bipolar,hypertension
Retail Trade,0.565,INDSTRY,bipolar,hypertension
"Finance, Insurance, Real Estate",0.6819,INDSTRY,bipolar,hypertension
Services,0.6839,INDSTRY,bipolar,hypertension
"Oil & Gas Extraction, Mining",0.5434,INDSTRY,bipolar,hypertension
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,hypertension
Construction,0.2514,INDSTRY,bipolar,hypertension
Wholesale,0.4054,INDSTRY,bipolar,hypertension
Salary Non-union,0.6348,EECLASS,bipolar,hypertension
Salary Union,0.4588,EECLASS,bipolar,hypertension
Salary Other,0.4057,EECLASS,bipolar,hypertension
Hourly Non-union,0.5653,EECLASS,bipolar,hypertension
Hourly Union,0.7769,EECLASS,bipolar,hypertension
Hourly Other,0.5664,EECLASS,bipolar,hypertension
Non-union,0.5422,EECLASS,bipolar,hypertension
Union,0.6102,EECLASS,bipolar,hypertension
Unknown,0.578,EECLASS,bipolar,hypertension
Active Full Time,-0.35,EESTATU,bipolar,hypertension
Early Retiree,0.6992,EESTATU,bipolar,hypertension
Medicare Eligible Retiree,0.5879,EESTATU,bipolar,hypertension
COBRA Continuee,0.3615,EESTATU,bipolar,hypertension
Long Term Disability,0.331,EESTATU,bipolar,hypertension
Surviving Spouse/Depend.,0.6126,EESTATU,bipolar,hypertension
Other/Unknown,0.3048,EESTATU,bipolar,hypertension
Active Part Time or Seasonal,0.224,EESTATU,bipolar,hypertension
Retiree (status unknown),0.4789,EESTATU,bipolar,hypertension
"Manufacturing, Durable Goods",0.575,INDSTRY,bipolar,lipid_metabolism
"Manufacturing, Nondurable Goods",0.5977,INDSTRY,bipolar,lipid_metabolism
"Transportation, Communications, Utilities",0.6416,INDSTRY,bipolar,lipid_metabolism
Retail Trade,0.4099,INDSTRY,bipolar,lipid_metabolism
"Finance, Insurance, Real Estate",0.621,INDSTRY,bipolar,lipid_metabolism
Services,0.6857,INDSTRY,bipolar,lipid_metabolism
"Oil & Gas Extraction, Mining",0.5722,INDSTRY,bipolar,lipid_metabolism
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,lipid_metabolism
Construction,0.1476,INDSTRY,bipolar,lipid_metabolism
Wholesale,0.3161,INDSTRY,bipolar,lipid_metabolism
Salary Non-union,0.5133,EECLASS,bipolar,lipid_metabolism
Salary Union,0.6233,EECLASS,bipolar,lipid_metabolism
Salary Other,0.3955,EECLASS,bipolar,lipid_metabolism
Hourly Non-union,0.4499,EECLASS,bipolar,lipid_metabolism
Hourly Union,0.7543,EECLASS,bipolar,lipid_metabolism
Hourly Other,0.5754,EECLASS,bipolar,lipid_metabolism
Non-union,0.4721,EECLASS,bipolar,lipid_metabolism
Union,0.5098,EECLASS,bipolar,lipid_metabolism
Unknown,0.597,EECLASS,bipolar,lipid_metabolism
Active Full Time,-0.2682,EESTATU,bipolar,lipid_metabolism
Early Retiree,0.6282,EESTATU,bipolar,lipid_metabolism
Medicare Eligible Retiree,0.5471,EESTATU,bipolar,lipid_metabolism
COBRA Continuee,0.2439,EESTATU,bipolar,lipid_metabolism
Long Term Disability,0.4292,EESTATU,bipolar,lipid_metabolism
Surviving Spouse/Depend.,0.5555,EESTATU,bipolar,lipid_metabolism
Other/Unknown,0.3824,EESTATU,bipolar,lipid_metabolism
Active Part Time or Seasonal,-0.0931,EESTATU,bipolar,lipid_metabolism
Retiree (status unknown),0.6352,EESTATU,bipolar,lipid_metabolism
"Manufacturing, Durable Goods",0.6353,INDSTRY,bipolar,obesity
"Manufacturing, Nondurable Goods",0.6089,INDSTRY,bipolar,obesity
"Transportation, Communications, Utilities",0.6754,INDSTRY,bipolar,obesity
Retail Trade,0.4831,INDSTRY,bipolar,obesity
"Finance, Insurance, Real Estate",0.8069,INDSTRY,bipolar,obesity
Services,0.7392,INDSTRY,bipolar,obesity
"Oil & Gas Extraction, Mining",0.5207,INDSTRY,bipolar,obesity
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,obesity
Construction,0.2153,INDSTRY,bipolar,obesity
Wholesale,0.4607,INDSTRY,bipolar,obesity
Salary Non-union,0.3595,EECLASS,bipolar,obesity
Salary Union,0.5548,EECLASS,bipolar,obesity
Salary Other,0.5044,EECLASS,bipolar,obesity
Hourly Non-union,0.6379,EECLASS,bipolar,obesity
Hourly Union,0.6188,EECLASS,bipolar,obesity
Hourly Other,0.5471,EECLASS,bipolar,obesity
Non-union,0.5049,EECLASS,bipolar,obesity
Union,0.5568,EECLASS,bipolar,obesity
Unknown,0.5842,EECLASS,bipolar,obesity
Active Full Time,-0.0412,EESTATU,bipolar,obesity
Early Retiree,0.5719,EESTATU,bipolar,obesity
Medicare Eligible Retiree,0.6157,EESTATU,bipolar,obesity
COBRA Continuee,0.4674,EESTATU,bipolar,obesity
Long Term Disability,0.3291,EESTATU,bipolar,obesity
Surviving Spouse/Depend.,0.6312,EESTATU,bipolar,obesity
Other/Unknown,0.4711,EESTATU,bipolar,obesity
Active Part Time or Seasonal,0.2733,EESTATU,bipolar,obesity
Retiree (status unknown),0.5356,EESTATU,bipolar,obesity
"Manufacturing, Durable Goods",0.4772,INDSTRY,bipolar,schizophrenia
"Manufacturing, Nondurable Goods",0.6858,INDSTRY,bipolar,schizophrenia
"Transportation, Communications, Utilities",0.4405,INDSTRY,bipolar,schizophrenia
Retail Trade,0.453,INDSTRY,bipolar,schizophrenia
"Finance, Insurance, Real Estate",0.535,INDSTRY,bipolar,schizophrenia
Services,0.559,INDSTRY,bipolar,schizophrenia
"Oil & Gas Extraction, Mining",0.4489,INDSTRY,bipolar,schizophrenia
"Agriculture, Forestry, Fishing",NA,INDSTRY,bipolar,schizophrenia
Construction,0.707,INDSTRY,bipolar,schizophrenia
Wholesale,0.0762,INDSTRY,bipolar,schizophrenia
Salary Non-union,0.7016,EECLASS,bipolar,schizophrenia
Salary Union,0.3442,EECLASS,bipolar,schizophrenia
Salary Other,0.2649,EECLASS,bipolar,schizophrenia
Hourly Non-union,0.4975,EECLASS,bipolar,schizophrenia
Hourly Union,0.5707,EECLASS,bipolar,schizophrenia
Hourly Other,0.6075,EECLASS,bipolar,schizophrenia
Non-union,0.4527,EECLASS,bipolar,schizophrenia
